epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,12790.6,1.03714,0.86217,1.21279,0.77043,0.67607,0.72245,0.48181,1.1436,0.88672,1.08715,0.000173264,0.000173264,0.000173264
82,12939.3,1.03395,0.85222,1.20864,0.76729,0.68562,0.72499,0.49014,1.12961,0.89025,1.09036,0.000165017,0.000165017,0.000165017
83,13087.3,1.03128,0.85158,1.20945,0.74258,0.69054,0.72207,0.48506,1.14145,0.89482,1.08869,0.000156771,0.000156771,0.000156771
84,13234,1.03267,0.85309,1.20828,0.76201,0.69129,0.72661,0.4809,1.15541,0.89277,1.08739,0.000148524,0.000148524,0.000148524
85,13380.7,1.0286,0.85107,1.2114,0.75922,0.69643,0.7275,0.48739,1.13054,0.88103,1.08784,0.000140277,0.000140277,0.000140277
86,13530.6,1.02352,0.83814,1.207,0.77457,0.6819,0.72424,0.4825,1.14855,0.88948,1.09146,0.000132031,0.000132031,0.000132031
87,13680.8,1.02227,0.84462,1.20697,0.77815,0.68982,0.73118,0.4907,1.14215,0.88611,1.0895,0.000123784,0.000123784,0.000123784
88,13830.2,1.02294,0.84018,1.20415,0.76931,0.68502,0.72535,0.48695,1.14427,0.89099,1.08895,0.000115537,0.000115537,0.000115537
89,13980.8,1.02012,0.83585,1.19903,0.75365,0.69112,0.72524,0.48458,1.14567,0.88622,1.08724,0.00010729,0.00010729,0.00010729
90,14129.3,1.0207,0.84044,1.20259,0.74396,0.70072,0.72852,0.48748,1.13953,0.88483,1.08515,9.90437e-05,9.90437e-05,9.90437e-05
91,14275.9,0.94012,0.70858,1.17974,0.77146,0.68009,0.72891,0.49031,1.13058,0.88692,1.08949,9.0797e-05,9.0797e-05,9.0797e-05
92,14420.3,0.93109,0.68852,1.17074,0.76446,0.68165,0.72882,0.49126,1.13889,0.88344,1.09061,8.25503e-05,8.25503e-05,8.25503e-05
93,14563.4,0.91832,0.67786,1.1657,0.75659,0.68619,0.72644,0.48629,1.14596,0.8812,1.09113,7.43036e-05,7.43036e-05,7.43036e-05
94,14707,0.91329,0.67164,1.16103,0.7576,0.69269,0.72613,0.48564,1.14394,0.8851,1.0916,6.60569e-05,6.60569e-05,6.60569e-05
95,14849.4,0.91082,0.67025,1.15823,0.75563,0.6988,0.72598,0.48919,1.13981,0.88464,1.09193,5.78102e-05,5.78102e-05,5.78102e-05
96,14993,0.9038,0.66497,1.16027,0.76365,0.69566,0.72432,0.48753,1.14192,0.8838,1.0912,4.95635e-05,4.95635e-05,4.95635e-05
97,15137,0.90014,0.65635,1.15374,0.76278,0.69838,0.72371,0.48599,1.14728,0.88422,1.0915,4.13168e-05,4.13168e-05,4.13168e-05
98,15281.4,0.90031,0.65598,1.15411,0.77708,0.68933,0.72425,0.48811,1.14177,0.88106,1.08953,3.30701e-05,3.30701e-05,3.30701e-05
99,15423.2,0.89925,0.65153,1.15284,0.76222,0.6959,0.72269,0.48701,1.1422,0.88159,1.09017,2.48234e-05,2.48234e-05,2.48234e-05
100,15564.1,0.89268,0.65431,1.15283,0.75381,0.69977,0.7233,0.48701,1.14253,0.87964,1.08983,1.65767e-05,1.65767e-05,1.65767e-05
